2:15 PM, 6:40 PM, CAD 1404, Emirates,Dubai,London,
11:25 AM, 4:10 PM, CAD 1509, Emirates,Dubai,London,
10:20 AM, 3:05 PM, CAD 1509, Emirates,Dubai,London,
9:40 AM, 2:25 PM, CAD 1509, Emirates,Dubai,London,
3:45 PM, 8:15 PM, CAD 1509, Emirates,Dubai,London,
7:45 AM, 12:25 PM, CAD 1509, Emirates,Dubai,London,
2:30 AM, 7:05 AM, CAD 1509, Emirates,Dubai,London,
4:45 AM, 2:45 PM, CAD 846, Kuwait Airways,Dubai,London,
4:45 AM, 4:05 PM, CAD 846, Kuwait Airways,Dubai,London,
1:10 PM, 9:05 PM, CAD 1012, Azerbaijan Airlines,Dubai,London,
9:20 AM, 2:10 PM, CAD 3246, British Airways,Dubai,London,
7:10 PM, 6:55 AM+1, CAD 993, Gulf Air,Dubai,London,
5:00 PM, 6:55 AM+1, CAD 993, Gulf Air,Dubai,London,
1:25 AM, 6:15 AM, CAD 3246, British Airways,Dubai,London,
1:15 AM, 7:55 AM, CAD 1167, Swiss International Air Lines,Dubai,London,
3:25 AM, 12:45 PM, CAD 1087, Flight + Bus,Dubai,London,
12:55 AM, 7:40 AM, CAD 1194, KLM,Dubai,London,
11:35 PM, 3:20 PM+1, CAD 993, Gulf Air,Dubai,London,
7:30 AM, 4:50 PM, CAD 1174, Royal Air Maroc • Royal Air Maroc 9901 operated by Emirates,Dubai,London,
8:00 AM, 3:20 PM, CAD 1290, Gulf Air,Dubai,London,
7:30 AM, 5:45 PM, CAD 1174, Royal Air Maroc • Royal Air Maroc 9901 operated by Emirates,Dubai,London,
1:15 AM, 4:20 PM, CAD 1058, Swiss International Air Lines,Dubai,London,
